id,title,url,pageUrl,author,createdAt,score,commentCount,wordCount,tags,excerpt
DiyqXDE5xzPAdNNdi,Conceptual reasoning dataset v0.1 available (AI for AI safety/AI for philosophy),https://www.lesswrong.com/posts/DiyqXDE5xzPAdNNdi/conceptual-reasoning-dataset-v0-1-available-ai-for-ai-safety,https://www.lesswrong.com/posts/DiyqXDE5xzPAdNNdi/conceptual-reasoning-dataset-v0-1-available-ai-for-ai-safety,,2025-11-12T01:12:52.912000+00:00,6,0,,,
sBWBEfa2WPPjsmzpG,Learnings from the Zurich AI Safety Day,https://www.lesswrong.com/posts/sBWBEfa2WPPjsmzpG/learnings-from-the-zurich-ai-safety-day,https://www.lesswrong.com/posts/sBWBEfa2WPPjsmzpG/learnings-from-the-zurich-ai-safety-day,,2025-11-11T17:00:00.168000+00:00,8,0,,,
tu4p9R3X57zvbwzwv,What is Happening in AI Governance?,https://www.lesswrong.com/posts/tu4p9R3X57zvbwzwv/what-is-happening-in-ai-governance,https://www.lesswrong.com/posts/tu4p9R3X57zvbwzwv/what-is-happening-in-ai-governance,,2025-11-11T15:59:47.425000+00:00,6,0,,,
msWjycrJygfGTATXg,Evolution's Alignment Solution: Why Burnout Prevents Monsters,https://www.lesswrong.com/posts/msWjycrJygfGTATXg/evolution-s-alignment-solution-why-burnout-prevents-monsters,https://www.lesswrong.com/posts/msWjycrJygfGTATXg/evolution-s-alignment-solution-why-burnout-prevents-monsters,,2025-11-11T13:32:16.726000+00:00,2,0,,,
9i6fHMn2vTqyzAi9o,When does Claude sabotage code? An Agentic Misalignment follow-up,https://www.lesswrong.com/posts/9i6fHMn2vTqyzAi9o/when-does-claude-sabotage-code-an-agentic-misalignment,https://www.lesswrong.com/posts/9i6fHMn2vTqyzAi9o/when-does-claude-sabotage-code-an-agentic-misalignment,,2025-11-09T23:11:43.916000+00:00,18,0,,,
4aeshNuEKF8Ak356D,Omniscaling to MNIST,https://www.lesswrong.com/posts/4aeshNuEKF8Ak356D/omniscaling-to-mnist,https://www.lesswrong.com/posts/4aeshNuEKF8Ak356D/omniscaling-to-mnist,,2025-11-08T19:42:15.988000+00:00,73,3,,,
AduRjjJneJZrtne6i,Start an AI safety group with the Pathfinder Fellowship,https://www.lesswrong.com/posts/AduRjjJneJZrtne6i/start-an-ai-safety-group-with-the-pathfinder-fellowship-1,https://www.lesswrong.com/posts/AduRjjJneJZrtne6i/start-an-ai-safety-group-with-the-pathfinder-fellowship-1,,2025-11-07T21:05:16.732000+00:00,2,0,,,
SeraekG5w8MH6MRWJ,"Plans to build AGI with nuclear reactor-like safety lack 'systematic thinking,' say researchers",https://www.lesswrong.com/posts/SeraekG5w8MH6MRWJ/plans-to-build-agi-with-nuclear-reactor-like-safety-lack,https://www.lesswrong.com/posts/SeraekG5w8MH6MRWJ/plans-to-build-agi-with-nuclear-reactor-like-safety-lack,,2025-11-07T16:25:55.357000+00:00,-1,2,,,
AJANBeJb2p39su6F9,[CS2881r][Week 8] When Agents Prefer Hacking To Failure: Evaluating Misalignment Under Pressure,https://www.lesswrong.com/posts/AJANBeJb2p39su6F9/cs2881r-week-8-when-agents-prefer-hacking-to-failure,https://www.lesswrong.com/posts/AJANBeJb2p39su6F9/cs2881r-week-8-when-agents-prefer-hacking-to-failure,,2025-11-07T05:45:00.330000+00:00,1,0,,,
vPgcRva2PuJBzW944,Technical AI Safety Roles at Open Philanthropy,https://www.lesswrong.com/posts/vPgcRva2PuJBzW944/technical-ai-safety-roles-at-open-philanthropy,https://www.lesswrong.com/posts/vPgcRva2PuJBzW944/technical-ai-safety-roles-at-open-philanthropy,,2025-11-06T00:49:31.316000+00:00,3,0,,,
Ge7dqJXzCAxMDS664,AI Safety at the Frontier: Paper Highlights of October 2025,https://www.lesswrong.com/posts/Ge7dqJXzCAxMDS664/ai-safety-at-the-frontier-paper-highlights-of-october-2025,https://www.lesswrong.com/posts/Ge7dqJXzCAxMDS664/ai-safety-at-the-frontier-paper-highlights-of-october-2025,,2025-11-05T13:39:28.641000+00:00,7,0,,,
ciw6DCdywoXk7yrdw,New homepage for AI safety resources – AISafety.com redesign,https://www.lesswrong.com/posts/ciw6DCdywoXk7yrdw/new-homepage-for-ai-safety-resources-aisafety-com-redesign,https://www.lesswrong.com/posts/ciw6DCdywoXk7yrdw/new-homepage-for-ai-safety-resources-aisafety-com-redesign,,2025-11-05T10:33:04.719000+00:00,35,2,,,
2AbQtjDij9ftZFpFc,Why Safety Constraints in LLMs Are Easily Breakable? Knowledge as a Network of Gated Circuits,https://www.lesswrong.com/posts/2AbQtjDij9ftZFpFc/why-safety-constraints-in-llms-are-easily-breakable,https://www.lesswrong.com/posts/2AbQtjDij9ftZFpFc/why-safety-constraints-in-llms-are-easily-breakable,,2025-11-05T05:20:59.546000+00:00,12,0,,,
PMc65HgRFvBimEpmJ,Legible vs. Illegible AI Safety Problems,https://www.lesswrong.com/posts/PMc65HgRFvBimEpmJ/legible-vs-illegible-ai-safety-problems,https://www.lesswrong.com/posts/PMc65HgRFvBimEpmJ/legible-vs-illegible-ai-safety-problems,,2025-11-04T21:39:07.202000+00:00,313,92,,,
k57RZxRTvuqTo65G5,AI Safety Camp 11,https://www.lesswrong.com/posts/k57RZxRTvuqTo65G5/ai-safety-camp-11,https://www.lesswrong.com/posts/k57RZxRTvuqTo65G5/ai-safety-camp-11,,2025-11-04T14:56:31.542000+00:00,5,0,,,
vD7ZeGskbF9CyMXzn,"AI Safety Unconference, Melbourne 2025",https://www.lesswrong.com/events/vD7ZeGskbF9CyMXzn/ai-safety-unconference-melbourne-2025,https://www.lesswrong.com/events/vD7ZeGskbF9CyMXzn/ai-safety-unconference-melbourne-2025,,2025-11-03T19:36:19.812000+00:00,1,0,,,
4kCKknEDo9rb27fM7,Falling AI Costs and the Proliferation of Offensive Capabilities,https://www.lesswrong.com/posts/4kCKknEDo9rb27fM7/falling-ai-costs-and-the-proliferation-of-offensive,https://www.lesswrong.com/posts/4kCKknEDo9rb27fM7/falling-ai-costs-and-the-proliferation-of-offensive,,2025-11-03T17:32:18.940000+00:00,14,2,,,
86NQZFN3SSAomboGv,The EU could hold AI capabilities development hostage if they wanted to,https://www.lesswrong.com/posts/86NQZFN3SSAomboGv/the-eu-could-hold-ai-capabilities-development-hostage-if,https://www.lesswrong.com/posts/86NQZFN3SSAomboGv/the-eu-could-hold-ai-capabilities-development-hostage-if,,2025-11-03T16:54:52.705000+00:00,3,0,,,
5DY2gZi3hEJZfEkhw,Doom from a Solution to the Alignment Problem,https://www.lesswrong.com/posts/5DY2gZi3hEJZfEkhw/doom-from-a-solution-to-the-alignment-problem,https://www.lesswrong.com/posts/5DY2gZi3hEJZfEkhw/doom-from-a-solution-to-the-alignment-problem,,2025-11-02T16:37:17.593000+00:00,0,0,,,
H3Thf3CFjfwH4eyX5,"Social media feeds 'misaligned' when viewed through AI safety framework, show researchers",https://www.lesswrong.com/posts/H3Thf3CFjfwH4eyX5/social-media-feeds-misaligned-when-viewed-through-ai-safety,https://www.lesswrong.com/posts/H3Thf3CFjfwH4eyX5/social-media-feeds-misaligned-when-viewed-through-ai-safety,,2025-10-31T16:40:46.069000+00:00,13,3,,,
qgehQxiTXj53X49mM,"Sonnet 4.5's eval gaming seriously undermines alignment evals, and this seems caused by training on alignment evals",https://www.lesswrong.com/posts/qgehQxiTXj53X49mM/sonnet-4-5-s-eval-gaming-seriously-undermines-alignment,https://www.lesswrong.com/posts/qgehQxiTXj53X49mM/sonnet-4-5-s-eval-gaming-seriously-undermines-alignment,,2025-10-30T15:34:32.336000+00:00,139,20,,,
EF5zBhaptNebzhwr3,"Quotes on OpenAI's timelines to automated research, safety research, and safety collaborations before  recursive self improvement",https://www.lesswrong.com/posts/EF5zBhaptNebzhwr3/quotes-on-openai-s-timelines-to-automated-research-safety,https://www.lesswrong.com/posts/EF5zBhaptNebzhwr3/quotes-on-openai-s-timelines-to-automated-research-safety,,2025-10-29T21:47:33.757000+00:00,15,0,,,
