id,title,url,pageUrl,author,createdAt,score,commentCount,wordCount,tags,excerpt
ifechgnJRtJdduFGC,Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs,https://www.lesswrong.com/posts/ifechgnJRtJdduFGC/emergent-misalignment-narrow-finetuning-can-produce-broadly,https://www.lesswrong.com/posts/ifechgnJRtJdduFGC/emergent-misalignment-narrow-finetuning-can-produce-broadly,,2025-02-25T17:39:31.059000+00:00,333,92,,,
PwnadG4BFjaER3MGf,Interpretability Will Not Reliably Find Deceptive AI,https://www.lesswrong.com/posts/PwnadG4BFjaER3MGf/interpretability-will-not-reliably-find-deceptive-ai,https://www.lesswrong.com/posts/PwnadG4BFjaER3MGf/interpretability-will-not-reliably-find-deceptive-ai,,2025-05-04T16:32:29.643000+00:00,329,68,,,
PMc65HgRFvBimEpmJ,Legible vs. Illegible AI Safety Problems,https://www.lesswrong.com/posts/PMc65HgRFvBimEpmJ/legible-vs-illegible-ai-safety-problems,https://www.lesswrong.com/posts/PMc65HgRFvBimEpmJ/legible-vs-illegible-ai-safety-problems,,2025-11-04T21:39:07.202000+00:00,313,92,,,
5uw26uDdFbFQgKzih,Beware General Claims about “Generalizable Reasoning Capabilities” (of Modern AI Systems),https://www.lesswrong.com/posts/5uw26uDdFbFQgKzih/beware-general-claims-about-generalizable-reasoning,https://www.lesswrong.com/posts/5uw26uDdFbFQgKzih/beware-general-claims-about-generalizable-reasoning,,2025-06-11T19:27:33.648000+00:00,295,19,,,
dHLdf8SB8oW5L27gg,On Fleshling Safety: A Debate by Klurl and Trapaucius.,https://www.lesswrong.com/posts/dHLdf8SB8oW5L27gg/on-fleshling-safety-a-debate-by-klurl-and-trapaucius,https://www.lesswrong.com/posts/dHLdf8SB8oW5L27gg/on-fleshling-safety-a-debate-by-klurl-and-trapaucius,,2025-10-26T23:44:04.676000+00:00,238,52,,,
fF8pvsn3AGQhYsbjp,Safety researchers should take a public stance,https://www.lesswrong.com/posts/fF8pvsn3AGQhYsbjp/safety-researchers-should-take-a-public-stance,https://www.lesswrong.com/posts/fF8pvsn3AGQhYsbjp/safety-researchers-should-take-a-public-stance,,2025-09-19T18:55:54.209000+00:00,237,65,,,
7C4KJot4aN8ieEDoz,Will alignment-faking Claude accept a deal to reveal its misalignment?,https://www.lesswrong.com/posts/7C4KJot4aN8ieEDoz/will-alignment-faking-claude-accept-a-deal-to-reveal-its,https://www.lesswrong.com/posts/7C4KJot4aN8ieEDoz/will-alignment-faking-claude-accept-a-deal-to-reveal-its,,2025-01-31T16:49:47.316000+00:00,208,28,,,
mpMWWKzkzWqf57Yap,Eliezer's Lost Alignment Articles / The Arbital Sequence,https://www.lesswrong.com/posts/mpMWWKzkzWqf57Yap/eliezer-s-lost-alignment-articles-the-arbital-sequence,https://www.lesswrong.com/posts/mpMWWKzkzWqf57Yap/eliezer-s-lost-alignment-articles-the-arbital-sequence,,2025-02-20T00:48:10.338000+00:00,207,10,,,
ZEuDH2W3XdRaTwpjD,Hyperbolic model fits METR capabilities estimate worse than exponential model,https://www.lesswrong.com/posts/ZEuDH2W3XdRaTwpjD/hyperbolic-model-fits-metr-capabilities-estimate-worse-than,https://www.lesswrong.com/posts/ZEuDH2W3XdRaTwpjD/hyperbolic-model-fits-metr-capabilities-estimate-worse-than,,2025-08-19T15:12:38.446000+00:00,202,9,,,
pGMRzJByB67WfSvpy,Will Any Crap Cause Emergent Misalignment?,https://www.lesswrong.com/posts/pGMRzJByB67WfSvpy/will-any-crap-cause-emergent-misalignment,https://www.lesswrong.com/posts/pGMRzJByB67WfSvpy/will-any-crap-cause-emergent-misalignment,,2025-08-27T18:20:11.587000+00:00,194,37,,,
