title,link,karma,date,keep
Eliciting secret knowledge from language models,https://www.alignmentforum.org/posts/Mv3yg7wMXfns3NPaz/eliciting-secret-knowledge-from-language-models-1,20,2025-10-02T20:57:13.496Z,y
Lectures on statistical learning theory for alignment researchers,https://www.alignmentforum.org/posts/yAwnYoeCz7PqeNrtL/lectures-on-statistical-learning-theory-for-alignment,15,2025-10-01T08:36:52.525Z,
AI Induced Psychosis: A shallow investigation,https://www.alignmentforum.org/posts/iGF7YcnQkEbwvYLPA/ai-induced-psychosis-a-shallow-investigation,83,2025-08-26T20:03:53.308Z,
Stress Testing Deliberative Alignment for Anti-Scheming Training,https://www.alignmentforum.org/posts/JmRfgNYCrYogCq7ny/stress-testing-deliberative-alignment-for-anti-scheming,57,2025-09-17T16:59:12.906Z,y
Four ways learning Econ makes people dumber re: future AI,https://www.alignmentforum.org/posts/xJWBofhLQjf3KmRgg/four-ways-learning-econ-makes-people-dumber-re-future-ai,119,2025-08-21T17:52:46.684Z,
Research Agenda: Synthesizing Standalone World-Models,https://www.alignmentforum.org/posts/LngR93YwiEpJ3kiWh/research-agenda-synthesizing-standalone-world-models,35,2025-09-22T19:06:14.592Z,y
"What, if not agency?",https://www.alignmentforum.org/posts/tQ9vWm4b57HFqbaRj/what-if-not-agency,40,2025-09-15T03:14:12.301Z,y
"Focus transparency on risk reports, not safety cases",https://www.alignmentforum.org/posts/KMbZWcTvGjChw9ynD/focus-transparency-on-risk-reports-not-safety-cases,24,2025-09-22T15:27:49.280Z,
"Synthesizing Standalone World-Models, Part 4: Metaphysical Justifications",https://www.alignmentforum.org/posts/gR96ANcNXQgh22qtG/synthesizing-standalone-world-models-part-4-metaphysical,12,2025-09-26T18:00:29.049Z,
"Trust me bro, just one more RL scale up, this one will be the real scale up with the good environments, the actually legit one, trust me bro",https://www.alignmentforum.org/posts/HsLWpZ2zad43nzvWi/trust-me-bro-just-one-more-rl-scale-up-this-one-will-be-the,57,2025-09-03T13:21:35.726Z,
LLM AGI may reason about its goals and discover misalignments by default,https://www.alignmentforum.org/posts/4XdxiqBsLKqiJ9xRM/llm-agi-may-reason-about-its-goals-and-discover,32,2025-09-15T14:58:01.265Z,
Subliminal Learning: LLMs Transmit Behavioral Traits via Hidden Signals in Data,https://www.alignmentforum.org/posts/cGcwQDKAKbQ68BGuR/subliminal-learning-llms-transmit-behavioral-traits-via,105,2025-07-22T16:37:22.475Z,y
Natural Latents: Latent Variables Stable Across Ontologies,https://www.alignmentforum.org/posts/Qdgo2jYAuFRMeMRJT/natural-latents-latent-variables-stable-across-ontologies,50,2025-09-04T00:33:14.621Z,y
From SLT to AIT: NN generalisation out-of-distribution,https://www.alignmentforum.org/posts/2MX2bXreTtntB85Zy/from-slt-to-ait-nn-generalisation-out-of-distribution,34,2025-09-04T15:20:02.296Z,y
Alignment as uploading with more steps,https://www.alignmentforum.org/posts/AzFxTMFfkTt4mhMKt/alignment-as-uploading-with-more-steps,23,2025-09-14T04:08:36.418Z,
