Paper title,Author(s),Date published,Link to paper
NovelHopQA: Diagnosing Multi-Hop Reasoning Failures in Long Narrative Contexts,"Abhay Gupta, Michael Lu, Kevin Zhu, Sean O'Brien, Vasu Sharma",Jun 2025,https://arxiv.org/abs/2506.02000
Thought Crime: Backdoors and Emergent Misalignment in Reasoning Models,"James Chua, Jan Betley, Mia Taylor, Owain Evans",Jun 2025,https://arxiv.org/abs/2506.13206
Playing repeated games with large language models,"Elif Akata, Lion Schulz, Julian Coda-Forno, Seong Joon Oh, Matthias Bethge, Eric Schulz",May 2025,https://www.nature.com/articles/s41562-025-02172-y
AI Governance to Avoid Extinction: The Strategic Landscape and Actionable Research Questions,"Peter Barnett, Aaron Scher",May 2025,https://techgov.intelligence.org/research/ai-governance-to-avoid-extinction
AlphaEvolve: A coding agent for scientific and algorithmic discover,"Alexander Novikov, Ngan Vu, Marvin Eisenberger, Emilien Dupont, Po-Sen Huang, Adam Zsolt Wagner, Sergey Shirobokov, Borislav Kozlovskii, Francisco J. R. Ruiz, Abbas Mehrabian, M. Pawan Kumar, Abigail See, Swarat Chaudhuri, George Holland, Alex Davies, Sebastian Nowozin, Pushmeet Kohli, Matej Balog",May 2025,https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms/AlphaEvolve.pdf
The necessity of AI audit standards boards,"David Manheim, Sammy Martin, Mark Bailey, Mikhail Samin, Ross Greutzmacher ",May 2025,https://link.springer.com/article/10.1007/s00146-025-02320-y
"The CoT Encyclopedia: Analyzing, Predicting, and Controlling how a Reasoning Model will Think","Seongyun Lee, Seungone Kim, Minju Seo, Yongrae Jo, Dongyoung Go, Hyeonbin Hwang, Jinho Park, Xiang Yue, Sean Welleck, Graham Neubig, Moontae Lee, Minjoon Seo",May 2025,https://arxiv.org/abs/2505.10185
Layered Unlearning for Adversarial Relearning,"Timothy Qian, Vinith Suriyakumar, Ashia Wilson, Dylan Hadfield-Menell",May 2025,https://arxiv.org/abs/2505.09500
HealthBench: Evaluating Large Language Models Towards Improved Human Health,"Rahul K. Arora, Jason Wei, Rebecca Soskin Hicks, Preston Bowman, Joaquin Quiñonero-Candela, Foivos Tsimpourlas, Michael Sharman, Meghan Shah, Andrea Vallone, Alex Beutel, Johannes Heidecke, Karan Singhal",May 2025,https://arxiv.org/abs/2505.08775
Putting It All into Context: Simplifying Agents with LCLMs,"Mingjian Jiang, Yangjun Ruan, Luis Lastras, Pavan Kapanipathi, Tatsunori Hashimoto",May 2025,https://arxiv.org/abs/2505.08120
