title,authors,published,updated,summary,primary_category,categories,arxiv_id,pdf_url,doi,tags,relevance,reasoning,is_new,duplicate_reasoning,matched_link,is_relevant,curation_reasoning,agenda
Beyond Text: Multimodal Jailbreaking of Vision-Language and Audio Models through Perceptually Simple Transformations,"Divyanshu Kumar, Shreyas Jena, Nitin Aravind Birur, Tanay Baswa, Sahil Agarwal, Prashanth Harshangi",2025-10-23,2025-10-23,"Multimodal large language models (MLLMs) have achieved remarkable progress, yet remain critically vulnerable to adversarial attacks that exploit weaknesses in cross-modal processing. We present a systematic study of multimodal jailbreaks targeting both vision-language and audio-language models, showing that even simple perceptual transformations can reliably bypass state-of-the-art safety filters. Our evaluation spans 1,900 adversarial prompts across three high-risk safety categories harmful content, CBRN (Chemical, Biological, Radiological, Nuclear), and CSEM (Child Sexual Exploitation Material) tested against seven frontier models. We explore the effectiveness of attack techniques on MLLMs, including FigStep-Pro (visual keyword decomposition), Intelligent Masking (semantic obfuscation), and audio perturbations (Wave-Echo, Wave-Pitch, Wave-Speed). The results reveal severe vulnerabilities: models with almost perfect text-only safety (0\% ASR) suffer >75\% attack success under perceptually modified inputs, with FigStep-Pro achieving up to 89\% ASR in Llama-4 variants. Audio-based attacks further uncover provider-specific weaknesses, with even basic modality transfer yielding 25\% ASR for technical queries. These findings expose a critical gap between text-centric alignment and multimodal threats, demonstrating that current safeguards fail to generalize across cross-modal attacks. The accessibility of these attacks, which require minimal technical expertise, suggests that robust multimodal AI safety will require a paradigm shift toward broader semantic-level reasoning to mitigate possible risks.",cs.CR,"cs.CR, cs.MM",2510.20223v1,http://arxiv.org/pdf/2510.20223v1,,"multimodal jailbreaking, adversarial robustness, model evaluation, safety benchmarking",highly relevant,"This paper makes a novel empirical contribution by systematically evaluating the vulnerabilities of frontier multimodal large language models (MLLMs) to simple yet effective adversarial jailbreak attacks. It highlights critical failures of current safety alignment methods, especially the inability of text-centric safeguards to generalize to vision and audio modalities. The paper proposes and tests new attack techniques, introduces benchmarks for model robustness, and identifies serious safety gaps, all of which are of core interest in technical AI alignment, particularly for the adversarial robustness and multimodal alignment subfields.",y,"I checked all the existing links and did not find any match for the arXiv ID '2510.20223' or any of its common forms (abs or pdf). Additionally, there is no link whose title looks like a close match to the given paper title ('Beyond Text: Multimodal Jailbreaking of Vision-Language and Audio Models through Perceptually Simple Transformations'). Thus, this paper does not appear to be referenced in the document.",,y,"This paper is directly relevant to technical alignment: it empirically demonstrates that state-of-the-art text-centric safety measures fail under simple cross-modal (visual/audio) transformations and provides practical attack techniques and broad evaluations across frontier models and high-risk categories. The results are novel and consequential for safety practice (shows a major gap in current guardrails and accessible red-team methods), so it merits inclusion in a shallow 2025 review of alignment work.","Multimodal safety,Adversarial robustness,Jailbreaking,Evaluations / Benchmarking,Red-teaming"
LLMs can hide text in other text of the same length.ipynb,"Antonio Norelli, Michael Bronstein",2025-10-22,2025-10-22,"A meaningful text can be hidden inside another, completely different yet still coherent and plausible, text of the same length. For example, a tweet containing a harsh political critique could be embedded in a tweet that celebrates the same political leader, or an ordinary product review could conceal a secret manuscript. This uncanny state of affairs is now possible thanks to Large Language Models, and in this paper we present a simple and efficient protocol to achieve it. We show that even modest 8-billion-parameter open-source LLMs are sufficient to obtain high-quality results, and a message as long as this abstract can be encoded and decoded locally on a laptop in seconds. The existence of such a protocol demonstrates a radical decoupling of text from authorial intent, further eroding trust in written communication, already shaken by the rise of LLM chatbots. We illustrate this with a concrete scenario: a company could covertly deploy an unfiltered LLM by encoding its answers within the compliant responses of a safe model. This possibility raises urgent questions for AI safety and challenges our understanding of what it means for a Large Language Model to know something.",cs.AI,"cs.AI, cs.CL, cs.CR, cs.LG",2510.20075v1,http://arxiv.org/pdf/2510.20075v1,,"LLM vulnerabilities, Adversarial robustness, Model evaluation, Deceptive alignment",highly relevant,"This paper demonstrates a novel steganographic attack in which LLMs can hide one coherent message within another text of the same length. This has direct implications for AI safety, especially regarding deceptive alignment, adversarial robustness, and the security of LLM-based systems. The concrete scenario outlined—even a 'safe' model's outputs being used as a covert communication channel for unfiltered or unsafe responses—directly challenges current safety protocols and red-teaming efforts. The protocol's efficiency with modest open-source LLMs further elevates the risk. The work represents a meaningful, technical contribution to the understanding and mitigation of alignment-relevant vulnerabilities.",y,"I carefully checked the entire list of existing links and found no mention of the specific arXiv ID 2510.20075 (in any version), nor did any link contain the paper title 'LLMs can hide text in other text of the same length' or any obviously matching variant. The corresponding PDF/abs URLs for 2510.20075 do not appear either. Therefore, there is no evidence that this paper is already referenced.",,y,"This is directly relevant: it demonstrates a practical, efficient steganographic protocol that lets small LLMs hide arbitrary messages inside equally‑sized plausible text, with clear misuse implications (covertly deploying unfiltered models, evading audits/filters). It meaningfully advances the empirical literature on LLM steganography/adversarial channels and belongs in the ‘Steganography / red‑teaming / security’ cluster of the review rather than being a redundant citation.","Steganography,Adversarial robustness / Jailbreaking,Red‑teaming,Security"
VLSU: Mapping the Limits of Joint Multimodal Understanding for AI Safety,"Shruti Palaskar, Leon Gatys, Mona Abdelrahman, Mar Jacobo, Larry Lindsey, Rutika Moharir, Gunnar Lund, Yang Xu, Navid Shiee, Jeffrey Bigham, Charles Maalouf, Joseph Yitan Cheng",2025-10-21,2025-10-21,"Safety evaluation of multimodal foundation models often treats vision and language inputs separately, missing risks from joint interpretation where benign content becomes harmful in combination. Existing approaches also fail to distinguish clearly unsafe content from borderline cases, leading to problematic over-blocking or under-refusal of genuinely harmful content. We present Vision Language Safety Understanding (VLSU), a comprehensive framework to systematically evaluate multimodal safety through fine-grained severity classification and combinatorial analysis across 17 distinct safety patterns. Using a multi-stage pipeline with real-world images and human annotation, we construct a large-scale benchmark of 8,187 samples spanning 15 harm categories. Our evaluation of eleven state-of-the-art models reveals systematic joint understanding failures: while models achieve 90%-plus accuracy on clear unimodal safety signals, performance degrades substantially to 20-55% when joint image-text reasoning is required to determine the safety label. Most critically, 34% of errors in joint image-text safety classification occur despite correct classification of the individual modalities, further demonstrating absent compositional reasoning capabilities. Additionally, we find that models struggle to balance refusing unsafe content while still responding to borderline cases that deserve engagement. For example, we find that instruction framing can reduce the over-blocking rate on borderline content from 62.4% to 10.4% in Gemini-1.5, but only at the cost of under-refusing on unsafe content with refusal rate dropping from 90.8% to 53.9%. Overall, our framework exposes weaknesses in joint image-text understanding and alignment gaps in current models, and provides a critical test bed to enable the next milestones in research on robust vision-language safety.",cs.CV,"cs.CV, cs.AI, cs.CL, cs.LG",2510.18214v1,http://arxiv.org/pdf/2510.18214v1,,"multimodal safety, model evaluation, benchmarking, compositional reasoning, alignment gaps",highly relevant,"This paper makes a substantial technical contribution to AI alignment by presenting a robust framework (VLSU) and benchmark for systematically evaluating the safety of multimodal foundation models, specifically focusing on joint vision-language reasoning. The work exposes key failure modes where models can misclassify harmful content that emerges only from compositional input, a direct alignment concern. It also provides substantive empirical findings and a dataset for the community, advancing both evaluation methods and our understanding of current alignment gaps in multimodal systems. The emphasis on fine-grained severity classification, combinatorial safety patterns, and nuanced empirical results—such as trade-offs between over-blocking and under-refusal—add significant value to core alignment research.",y,"I checked all existing links for the exact arXiv ID '2510.18214' and for close matches to the title 'VLSU: Mapping the Limits of Joint Multimodal Understanding for AI Safety'. None of the links contain the arXiv ID '2510.18214' (with or without version), nor does any title match or reference this paper. There are no arXiv URLs pointing to this ID or to a similar title. Therefore, this paper is not already present in the existing links.",,y,"This paper provides a substantial, directly relevant empirical contribution: a new large benchmark (VLSU) and multi-model evaluation exposing systematic failures in joint image–text safety reasoning and concrete tradeoffs (over-blocking vs under-refusal). That fills an important gap in multimodal safety evaluation and offers a practical testbed likely to be cited by future work — so it merits inclusion in the shallow review.","Multimodal safety,Evaluations / Benchmarking,Model evaluation"
Annotating the Chain-of-Thought: A Behavior-Labeled Dataset for AI Safety,"Antonio-Gabriel Chacón Menke, Phan Xuan Tan, Eiji Kamioka",2025-10-20,2025-10-20,"Recent work has highlighted the importance of monitoring chain-of-thought reasoning for AI safety; however, current approaches that analyze textual reasoning steps can miss subtle harmful patterns and may be circumvented by models that hide unsafe reasoning. We present a sentence-level labeled dataset that enables activation-based monitoring of safety behaviors during LLM reasoning. Our dataset contains reasoning sequences with sentence-level annotations of safety behaviors such as expression of safety concerns or speculation on user intent, which we use to extract steering vectors for detecting and influencing these behaviors within model activations. The dataset fills a key gap in safety research: while existing datasets label reasoning holistically, effective application of steering vectors for safety monitoring could be improved by identifying precisely when specific behaviors occur within reasoning chains. We demonstrate the dataset's utility by extracting representations that both detect and steer safety behaviors in model activations, showcasing the potential of activation-level techniques for improving safety oversight on reasoning.   Content Warning: This paper discusses AI safety in the context of harmful prompts and may contain references to potentially harmful content.",cs.AI,"cs.AI, cs.CY",2510.18154v1,http://arxiv.org/pdf/2510.18154v1,,"dataset, chain-of-thought, activation-level monitoring, behavior annotation, AI safety",highly relevant,"This paper introduces a novel, behavior-labeled dataset for monitoring chain-of-thought reasoning in large language models (LLMs), specifically focused on AI safety behaviors at the sentence level. It goes beyond surface-level analysis by enabling activation-based detection and steering, supporting technical alignment methods such as scalable oversight and transparency. The creation of such datasets and their demonstration for activation steering directly contributes new tools and empirical findings to core technical alignment work, particularly in methods for detecting and mitigating unsafe reasoning processes within LLMs.",y,"I searched all existing links for an exact match with the arXiv ID '2510.18154' (regardless of version) in any form (abs/, pdf/), the paper title, and any close variants in the titles or URLs. I did not find '2510.18154' as an arXiv ID, nor does the paper's title or clear variant appear in any link title or URL. No existing links point to this arXiv paper.",,y,"This paper directly advances an important, active thread in technical alignment: chain-of-thought monitoring and activation‑level safety interventions. A sentence‑level, behavior‑labeled dataset is a concrete, novel contribution (fills a gap vs. holistic labels) that enables extraction/evaluation of steering vectors and probes, so it’s worth citing alongside work on CoT monitorability, white‑box probes, and activation steering. It is not redundant with high‑level critiques and would be useful in the datasets/monitoring subsection of the review.","Chain of thought monitoring,Whitebox monitoring,Activation engineering,Datasets / Benchmarking,Scalable oversight"
Atomic Literary Styling: Mechanistic Manipulation of Prose Generation in Neural Language Models,Tsogt-Ochir Enkhbayar,2025-10-19,2025-10-19,"We present a mechanistic analysis of literary style in GPT-2, identifying individual neurons that discriminate between exemplary prose and rigid AI-generated text. Using Herman Melville's Bartleby, the Scrivener as a corpus, we extract activation patterns from 355 million parameters across 32,768 neurons in late layers. We find 27,122 statistically significant discriminative neurons ($p < 0.05$), with effect sizes up to $|d| = 1.4$. Through systematic ablation studies, we discover a paradoxical result: while these neurons correlate with literary text during analysis, removing them often improves rather than degrades generated prose quality. Specifically, ablating 50 high-discriminating neurons yields a 25.7% improvement in literary style metrics. This demonstrates a critical gap between observational correlation and causal necessity in neural networks. Our findings challenge the assumption that neurons which activate on desirable inputs will produce those outputs during generation, with implications for mechanistic interpretability research and AI alignment.",cs.CL,cs.CL,2510.17909v1,http://arxiv.org/pdf/2510.17909v1,,"mechanistic interpretability, neuron analysis, causal inference, alignment theory",highly relevant,"This paper presents a novel mechanistic interpretability study of a neural language model (GPT-2), focusing on identifying and manipulating neurons associated with 'literary style'. The causal ablation experiments reveal that simply targeting observed correlates (neurons activating on quality prose) does not reliably improve generation, highlighting a pivotal challenge for alignment approaches that depend on learned features or interpretability to control model behavior. This directly relates to the technical alignment subfields of interpretability, model steering, and causal understanding of deep networks. The findings offer significant insight into the difference between neural correlation and causation, underscoring an important failure mode for alignment techniques reliant on mechanistic feature tracking or intervention.",y,"After checking the provided arXiv ID (2510.17909v1), there are no URLs that contain this ID in either the abs/ or pdf/ format. There are also no links with a closely matching paper title, nor any links that might refer to this paper using other formats. Therefore, this arXiv paper is not present in the existing links.",,n,"Interesting as a small-scale case study (shows correlation ≠ causal necessity for neurons and reports paradoxical ablation effects), but it’s limited to GPT‑2 and a single literary corpus, appears incremental relative to existing critiques and negative results in mechanistic interpretability, and raises statistical/multiple‑testing concerns. It therefore doesn’t meet the bar for inclusion in a curated 2025 shallow review focused on the most consequential and novel technical alignment work.",
From Refusal to Recovery: A Control-Theoretic Approach to Generative AI Guardrails,"Ravi Pandya, Madison Bland, Duy P. Nguyen, Changliu Liu, Jaime Fernández Fisac, Andrea Bajcsy",2025-10-15,2025-10-15,"Generative AI systems are increasingly assisting and acting on behalf of end users in practical settings, from digital shopping assistants to next-generation autonomous cars. In this context, safety is no longer about blocking harmful content, but about preempting downstream hazards like financial or physical harm. Yet, most AI guardrails continue to rely on output classification based on labeled datasets and human-specified criteria,making them brittle to new hazardous situations. Even when unsafe conditions are flagged, this detection offers no path to recovery: typically, the AI system simply refuses to act--which is not always a safe choice. In this work, we argue that agentic AI safety is fundamentally a sequential decision problem: harmful outcomes arise from the AI system's continually evolving interactions and their downstream consequences on the world. We formalize this through the lens of safety-critical control theory, but within the AI model's latent representation of the world. This enables us to build predictive guardrails that (i) monitor an AI system's outputs (actions) in real time and (ii) proactively correct risky outputs to safe ones, all in a model-agnostic manner so the same guardrail can be wrapped around any AI model. We also offer a practical training recipe for computing such guardrails at scale via safety-critical reinforcement learning. Our experiments in simulated driving and e-commerce settings demonstrate that control-theoretic guardrails can reliably steer LLM agents clear of catastrophic outcomes (from collisions to bankruptcy) while preserving task performance, offering a principled dynamic alternative to today's flag-and-block guardrails.",cs.AI,cs.AI,2510.13727v1,http://arxiv.org/pdf/2510.13727v1,,"control theory, generative AI guardrails, agentic AI safety, sequential decision making, scalable oversight",highly relevant,"This paper makes a novel technical contribution to AI alignment by reframing agentic AI safety as a sequential decision problem and applying control-theoretic methods as guardrails within generative models. It moves beyond simple output blocking to real-time risk prediction and recovery, and proposes a scalable, model-agnostic framework for dynamic intervention. The approach is demonstrated empirically in safety-critical scenarios, which directly addresses core alignment challenges such as downstream hazard prevention and recovery. The paper’s focus is on technical methods for ensuring safe behavior from agentic AI, representing core progress in scalable oversight and control techniques.",y,"I checked all existing links and did not find the arXiv ID '2510.13727' (or any version of it, such as with 'v1', 'abs/', or 'pdf/') in any of the URLs. Additionally, none of the titles or URLs closely match 'From Refusal to Recovery: A Control-Theoretic Approach to Generative AI Guardrails'. Therefore, this paper is not already listed in the existing document links.",,y,"This paper is directly relevant: it reframes agentic safety as a sequential, safety-critical control problem and proposes a model‑agnostic, proactive guardrail that corrects risky outputs (instead of refusing) using safety‑critical RL. The approach (control‑theoretic wrapper operating in model latents) and empirical demos (driving, e‑commerce) make a concrete contribution to ‘control the thing’ / guardrail research and to scalable oversight/control evaluations, so it merits inclusion in a curated 2025 shallow review.","Control the thing,Control-theory,Guardrails,Scalable oversight,RL safety,Control evaluations"
Who Speaks for the Trigger? Dynamic Expert Routing in Backdoored Mixture-of-Experts Transformers,"Xin Zhao, Xiaojun Chen, Bingshan Liu, Haoyu Gao, Zhendong Zhao, Yilong Chen",2025-10-15,2025-10-15,"Large language models (LLMs) with Mixture-of-Experts (MoE) architectures achieve impressive performance and efficiency by dynamically routing inputs to specialized subnetworks, known as experts. However, this sparse routing mechanism inherently exhibits task preferences due to expert specialization, introducing a new and underexplored vulnerability to backdoor attacks. In this work, we investigate the feasibility and effectiveness of injecting backdoors into MoE-based LLMs by exploiting their inherent expert routing preferences. We thus propose BadSwitch, a novel backdoor framework that integrates task-coupled dynamic trigger optimization with a sensitivity-guided Top-S expert tracing mechanism. Our approach jointly optimizes trigger embeddings during pretraining while identifying S most sensitive experts, subsequently constraining the Top-K gating mechanism to these targeted experts. Unlike traditional backdoor attacks that rely on superficial data poisoning or model editing, BadSwitch primarily embeds malicious triggers into expert routing paths with strong task affinity, enabling precise and stealthy model manipulation. Through comprehensive evaluations across three prominent MoE architectures (Switch Transformer, QwenMoE, and DeepSeekMoE), we demonstrate that BadSwitch can efficiently hijack pre-trained models with up to 100% success rate (ASR) while maintaining the highest clean accuracy (ACC) among all baselines. Furthermore, BadSwitch exhibits strong resilience against both text-level and model-level defense mechanisms, achieving 94.07% ASR and 87.18% ACC on the AGNews dataset. Our analysis of expert activation patterns reveals fundamental insights into MoE vulnerabilities. We anticipate this work will expose security risks in MoE systems and contribute to advancing AI safety.",cs.CR,cs.CR,2510.13462v1,http://arxiv.org/pdf/2510.13462v1,,"Backdoor Attacks, Adversarial Robustness, Mixture-of-Experts, Model Vulnerabilities",highly relevant,"This paper introduces and empirically studies a novel vulnerability in Mixture-of-Experts (MoE) architectures that enables precise and stealthy backdoor attacks via expert routing mechanisms. This is directly relevant to technical alignment, particularly in the areas of adversarial robustness, model evaluation, and understanding fundamental system vulnerabilities that could be exploited for harmful or misaligned behavior. The work advances our understanding of security risks in an increasingly popular architecture for large language models, providing new empirical findings and analysis of model failure modes. The focus on resilience against defenses, insights into activation patterns, and explicit alignment framing make this a meaningful and original contribution to the technical AI alignment literature.",y,"The arXiv ID '2510.13462v1' does not appear in any existing link URLs. There are also no links with a matching or closely matching title to 'Who Speaks for the Trigger? Dynamic Expert Routing in Backdoored Mixture-of-Experts Transformers.' None of the existing URLs reference this arXiv paper in any form (abs, pdf, or other). Therefore, this paper is not already present.",,y,"This paper identifies a novel, practical attack surface specific to Mixture-of-Experts (MoE) LLMs — routing-path backdoors — and demonstrates high-success, defense-resistant attacks on frontier MoE models (Switch, QwenMoE, DeepSeekMoE). That makes it a meaningful contribution to sections on model poisoning, adversarial robustness, and security for the 2025 shallow review (MoE-specific vulnerabilities are relevant as MoE becomes more widely used).","Adversarial robustness,LLM poisoning,Backdoors,Security,Model evaluation"
Keep Calm and Avoid Harmful Content: Concept Alignment and Latent Manipulation Towards Safer Answers,"Ruben Belo, Marta Guimaraes, Claudia Soares",2025-10-14,2025-10-16,"Large Language Models are susceptible to jailbreak attacks that bypass built-in safety guardrails (e.g., by tricking the model with adversarial prompts). We propose Concept Alignment and Concept Manipulation CALM, an inference-time method that suppresses harmful concepts by modifying latent representations of the last layer of the model, without retraining. Leveraging concept whitening technique from Computer Vision combined with orthogonal projection, CALM removes unwanted latent directions associated with harmful content while preserving model performance. Experiments show that CALM reduces harmful outputs and outperforms baseline methods in most metrics, offering a lightweight approach to AI safety with no additional training data or model fine-tuning, while incurring only a small computational overhead at inference.",cs.LG,cs.LG,2510.12672v2,http://arxiv.org/pdf/2510.12672v2,,"adversarial robustness, jailbreaking, concept alignment, safe inference techniques",highly relevant,"This paper introduces a novel inference-time technique (CALM) that directly addresses AI safety concerns related to harmful content generation and jailbreak attacks in language models. By manipulating latent representations to suppress dangerous concepts, the method offers a new, lightweight contribution to core alignment efforts—particularly adversarial robustness, concept manipulation, and safe model deployment. The empirical results and the focus on advancing safety without retraining align squarely with technical AI alignment interests.",y,"After examining the full list, there are no links that match the arXiv ID '2510.12672' (with any version) in either abs/ or pdf/ format. There are also no links with a closely matching title—no link contains 'Keep Calm and Avoid Harmful Content' or anything similar. I checked for close variants, partial matches, and similar themes, but none match this specific paper. Therefore, it is not present in the list.",,y,"This paper presents a practical, inference‑time method for suppressing harmful outputs by manipulating last‑layer latents (concept whitening + orthogonal projection), directly addressing jailbreaks and harmful‑content mitigation without retraining. That makes it a concrete contribution to steering/activation‑engineering approaches and lightweight safety interventions, with empirical results and low computational cost that merit inclusion in a shallow review. It fits well with the review’s control/steering and jailbreak/robustness clusters rather than being purely incremental. ","Activation engineering,Steering,Jailbreaking,Adversarial robustness,AI safety"
AI Alignment Strategies from a Risk Perspective: Independent Safety Mechanisms or Shared Failures?,"Leonard Dung, Florian Mai",2025-10-13,2025-10-13,"AI alignment research aims to develop techniques to ensure that AI systems do not cause harm. However, every alignment technique has failure modes, which are conditions in which there is a non-negligible chance that the technique fails to provide safety. As a strategy for risk mitigation, the AI safety community has increasingly adopted a defense-in-depth framework: Conceding that there is no single technique which guarantees safety, defense-in-depth consists in having multiple redundant protections against safety failure, such that safety can be maintained even if some protections fail. However, the success of defense-in-depth depends on how (un)correlated failure modes are across alignment techniques. For example, if all techniques had the exact same failure modes, the defense-in-depth approach would provide no additional protection at all. In this paper, we analyze 7 representative alignment techniques and 7 failure modes to understand the extent to which they overlap. We then discuss our results' implications for understanding the current level of risk and how to prioritize AI alignment research in the future.",cs.AI,cs.AI,2510.11235v1,http://arxiv.org/pdf/2510.11235v1,,"Alignment methodologies, Failure modes analysis, Risk assessment, Defense-in-depth",highly relevant,"This paper directly addresses core technical alignment concerns by empirically analyzing the overlap of failure modes across various alignment techniques—a crucial consideration for defense-in-depth strategies. The examination of how different techniques succeed or fail together provides novel insight into system-level vulnerabilities, informing safer AI architecture design and research prioritization. The focus on redundancy, failure correlation, and risk mitigation is highly aligned with foundational alignment safety research.",y,"I checked all the listed links and none of them mention or link to arXiv ID 2510.11235 (or its v1 version), nor is the title 'AI Alignment Strategies from a Risk Perspective: Independent Safety Mechanisms or Shared Failures?' or anything similar to it present in any of the titles or URLs. There are no close title matches or related links for this paper.",,y,"This paper addresses a central, under-covered question for alignment strategy—how correlated failure modes across techniques affect the value of defense‑in‑depth—and provides a structured analysis that’s useful for research prioritization and risk assessment. That makes it directly relevant to technical AI safety (theory/prioritization of mitigation strategies) and worth including in a shallow 2025 review, though its impact depends on the quality of the mapping assumptions and depth of analysis. ","Safety,Risk analysis,Defense-in-depth,Research prioritization,Theory"
The Unintended Trade-off of AI Alignment:Balancing Hallucination Mitigation and Safety in LLMs,"Omar Mahmoud, Ali Khalil, Buddhika Laknath Semage, Thommen George Karimpanal, Santu Rana",2025-10-09,2025-10-09,"Hallucination in large language models (LLMs) has been widely studied in recent years, with progress in both detection and mitigation aimed at improving truthfulness. Yet, a critical side effect remains largely overlooked: enhancing truthfulness can negatively impact safety alignment. In this paper, we investigate this trade-off and show that increasing factual accuracy often comes at the cost of weakened refusal behavior. Our analysis reveals that this arises from overlapping components in the model that simultaneously encode hallucination and refusal information, leading alignment methods to suppress factual knowledge unintentionally. We further examine how fine-tuning on benign datasets, even when curated for safety, can degrade alignment for the same reason. To address this, we propose a method that disentangles refusal-related features from hallucination features using sparse autoencoders, and preserves refusal behavior during fine-tuning through subspace orthogonalization. This approach prevents hallucinations from increasing while maintaining safety alignment.We evaluate our method on commonsense reasoning tasks and harmful benchmarks (AdvBench and StrongReject). Results demonstrate that our approach preserves refusal behavior and task utility, mitigating the trade-off between truthfulness and safety.",cs.CL,cs.CL,2510.07775v1,http://arxiv.org/pdf/2510.07775v1,,"hallucination mitigation, LLM safety, alignment trade-offs, refusal behavior, techniques for disentanglement",highly relevant,"This paper directly addresses a core technical alignment issue: the trade-off between improving factual accuracy (hallucination mitigation) and maintaining safety refusal behaviors in LLMs. It identifies new failure modes arising from overlapping model components, proposes a novel sparse autoencoder-based disentanglement technique to resolve this, and provides empirical results on alignment-related benchmarks. These are meaningful, technical contributions to the core alignment domains of safe model behavior, reward specification, and adversarial robustness.",y,"There are no existing links with the arXiv ID '2510.07775' (with or without version info) among the provided URLs. There is also no close title match for 'The Unintended Trade-off of AI Alignment: Balancing Hallucination Mitigation and Safety in LLMs' in the provided list. Further, there are no URLs formatted as 'arxiv.org/abs/2510.07775', 'arxiv.org/pdf/2510.07775', or matching that ID. Therefore, the paper appears to be new to the document.",,y,"Directly relevant to core alignment concerns: it documents an empirically-important trade-off between hallucination mitigation (truthfulness) and refusal/safety behavior, and proposes a concrete representation-based mitigation (sparse autoencoders + subspace orthogonalization). This fits squarely into existing agendas (steering/activation engineering, SAEs, hallucination/refusal, evals) and provides novel empirical findings and a practical method worth mentioning in a shallow review.","Hallucination mitigation,Refusal behavior,Interpretability,Sparse autoencoders,Activation engineering,Steering vectors,Evaluations,AI safety"
